source_id,target_id,relationship_type,confidence_bps,priority,reason_text
"prd_qm_crispkettle_tea_biscuits_plain","prd_qm_munchmitra_butter_shortbread_bites","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_tea_biscuits_plain","prd_qm_fizzyleaf_sparkling_cola_drink","COMPLEMENT","8400","10","This complements tea biscuits plain in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_butter_shortbread_bites","prd_qm_nibblenest_cocoa_cream_biscuits","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_butter_shortbread_bites","prd_qm_pourhouse_lemon_lime_fizz","COMPLEMENT","8400","10","This complements butter shortbread bites in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_cocoa_cream_biscuits","prd_qm_crispkettle_oat_crunch_cookies","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_cocoa_cream_biscuits","prd_qm_sunsip_orange_sparkling_drink","COMPLEMENT","8400","10","This complements cocoa cream biscuits in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_oat_crunch_cookies","prd_qm_munchmitra_salted_cracker_squares","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_oat_crunch_cookies","prd_qm_fizzyleaf_ginger_ale","COMPLEMENT","8400","10","This complements oat crunch cookies in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_salted_cracker_squares","prd_qm_nibblenest_coconut_snap_biscuits","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_salted_cracker_squares","prd_qm_pourhouse_mango_fruit_drink","COMPLEMENT","8400","10","This complements salted cracker squares in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_coconut_snap_biscuits","prd_qm_crispkettle_cardamom_tea_biscuits","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_coconut_snap_biscuits","prd_qm_sunsip_guava_fruit_drink","COMPLEMENT","8400","10","This complements coconut snap biscuits in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_cardamom_tea_biscuits","prd_qm_munchmitra_honey_oat_cookies","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_cardamom_tea_biscuits","prd_qm_fizzyleaf_mixed_fruit_nectar","COMPLEMENT","8400","10","This complements cardamom tea biscuits in a practical basket for the same shopping occasion."
"prd_qm_munchmitra_honey_oat_cookies","prd_qm_nibblenest_ragi_sesame_bites","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_munchmitra_honey_oat_cookies","prd_qm_pourhouse_tender_coconut_water","COMPLEMENT","8400","10","This complements honey oat cookies in a practical basket for the same shopping occasion."
"prd_qm_nibblenest_ragi_sesame_bites","prd_qm_crispkettle_choco_chip_rounds","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_nibblenest_ragi_sesame_bites","prd_qm_sunsip_packaged_drinking_water","COMPLEMENT","8400","10","This complements ragi sesame bites in a practical basket for the same shopping occasion."
"prd_qm_crispkettle_choco_chip_rounds","prd_qm_munchmitra_classic_potato_crisps","SAME_FAMILY","7600","5","A similar snacks choice can be suggested when the shopper is browsing this item."
"prd_qm_crispkettle_choco_chip_rounds","prd_qm_fizzyleaf_soda_water","COMPLEMENT","8400","10","This complements choco chip rounds in a practical basket for the same shopping occasion."
