product_id,name,brand,brand_id,category,category_id,subcategory,subcategory_id,description,dietary_tags_json,allergen_tags_json,ingredients_text,aliases_json,country_of_origin_code,attributes_json,lifecycle,rating,reviews,nutrition_per_100g_json
"prd_qm_crispkettle_tea_biscuits_plain","Tea Biscuits Plain","CrispKettle","brand_qm_crispkettle","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""tea biscuits plain"",""biscuits"",""crispkettle tea biscuits plain""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.4","488","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_munchmitra_butter_shortbread_bites","Butter Shortbread Bites","MunchMitra","brand_qm_munchmitra","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""butter shortbread bites"",""biscuits"",""munchmitra butter shortbread bites""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.7","661","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_nibblenest_cocoa_cream_biscuits","Cocoa Cream Biscuits","NibbleNest","brand_qm_nibblenest","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""cocoa cream biscuits"",""biscuits"",""nibblenest cocoa cream biscuits""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.1","834","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_crispkettle_oat_crunch_cookies","Oat Crunch Cookies","CrispKettle","brand_qm_crispkettle","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""oat crunch cookies"",""biscuits"",""crispkettle oat crunch cookies""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.4","1007","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_munchmitra_salted_cracker_squares","Salted Cracker Squares","MunchMitra","brand_qm_munchmitra","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""salted cracker squares"",""biscuits"",""munchmitra salted cracker squares""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.7","1180","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_nibblenest_coconut_snap_biscuits","Coconut Snap Biscuits","NibbleNest","brand_qm_nibblenest","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""coconut snap biscuits"",""biscuits"",""nibblenest coconut snap biscuits""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.1","1353","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_crispkettle_cardamom_tea_biscuits","Cardamom Tea Biscuits","CrispKettle","brand_qm_crispkettle","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""cardamom tea biscuits"",""biscuits"",""crispkettle cardamom tea biscuits""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.4","1526","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_munchmitra_honey_oat_cookies","Honey Oat Cookies","MunchMitra","brand_qm_munchmitra","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""honey oat cookies"",""biscuits"",""munchmitra honey oat cookies""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.7","1699","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_nibblenest_ragi_sesame_bites","Ragi Sesame Bites","NibbleNest","brand_qm_nibblenest","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""ragi sesame bites"",""biscuits"",""nibblenest ragi sesame bites""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.1","1872","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
"prd_qm_crispkettle_choco_chip_rounds","Choco Chip Rounds","CrispKettle","brand_qm_crispkettle","snacks","cat_qm_snacks","biscuits_chips_namkeen","subcat_qm_biscuits_chips_namkeen","Crunchy ready-to-eat snack for tea breaks, travel, sharing and quick hunger occasions.","[""vegetarian""]","[""wheat"",""gluten"",""milk"",""peanuts""]","Cereals, pulses or potatoes, edible vegetable oil, spices, sugar and salt","[""choco chip rounds"",""biscuits"",""crispkettle choco chip rounds""]","IN","{""storage"":""ambient"",""pack_size"":""100 g""}","active","4.4","2045","{""energy"":500,""protein"":8,""total_sugar"":10,""added_sugar"":7,""total_fat"":25}"
